yaaI	GO:0016787	hydrolase activity
yaaJ	GO:0003824	catalytic activity
yaaJ	GO:0008033	tRNA processing
yaaJ	GO:0008270	zinc ion binding
yaaJ	GO:0016787	hydrolase activity
yaaJ	GO:0046872	metal ion binding
dnaX	GO:0000166	nucleotide binding
dnaX	GO:0003677	DNA binding
dnaX	GO:0003887	DNA-directed DNA polymerase activity
dnaX	GO:0005524	ATP binding
dnaX	GO:0006260	DNA replication
dnaX	GO:0006261	DNA-dependent DNA replication
dnaX	GO:0009360	DNA polymerase III complex
dnaX	GO:0016740	transferase activity
dnaX	GO:0016779	nucleotidyltransferase activity
dnaX	GO:0017111	nucleoside-triphosphatase activity
yaaK	GO:0003677	DNA binding
yaaK	GO:0005737	cytoplasm
yaaK	GO:0009295	nucleoid
yaaK	GO:0043590	bacterial nucleoid
recR	GO:0003677	DNA binding
recR	GO:0006281	DNA repair
recR	GO:0006310	DNA recombination
recR	GO:0006974	cellular response to DNA damage stimulus
recR	GO:0046872	metal ion binding
bofA	GO:0016020	membrane
bofA	GO:0016021	integral component of membrane
bofA	GO:0030435	sporulation resulting in formation of a cellular spore
bofA	GO:0046872	metal ion binding
xpaC	GO:0008152	metabolic process
xpaC	GO:0016787	hydrolase activity
yaaO	GO:0003824	catalytic activity
yaaO	GO:0008152	metabolic process
yaaO	GO:0016829	lyase activity
yaaO	GO:0016831	carboxy-lyase activity
yaaO	GO:0030170	pyridoxal phosphate binding
tmk	GO:0000166	nucleotide binding
tmk	GO:0004798	thymidylate kinase activity
tmk	GO:0005524	ATP binding
tmk	GO:0006233	dTDP biosynthetic process
tmk	GO:0006235	dTTP biosynthetic process
tmk	GO:0009165	nucleotide biosynthetic process
tmk	GO:0016301	kinase activity
tmk	GO:0016310	phosphorylation
tmk	GO:0016740	transferase activity
tmk	GO:0046939	nucleotide phosphorylation
darA	GO:0032559	adenyl ribonucleotide binding
holB	GO:0003887	DNA-directed DNA polymerase activity
holB	GO:0006260	DNA replication
holB	GO:0006261	DNA-dependent DNA replication
holB	GO:0008408	3'-5' exonuclease activity
holB	GO:0016740	transferase activity
holB	GO:0016779	nucleotidyltransferase activity
holB	GO:0090305	nucleic acid phosphodiester bond hydrolysis
yaaT	GO:0005737	cytoplasm
yaaT	GO:0030435	sporulation resulting in formation of a cellular spore
yaaT	GO:0042173	regulation of sporulation resulting in formation of a cellular spore
yaaT	GO:0045304	regulation of establishment of competence for transformation
yaaT	GO:1900190	regulation of single-species biofilm formation
yabA	GO:0005515	protein binding
yabA	GO:0006260	DNA replication
yabA	GO:0008270	zinc ion binding
